,president,party,word_count,Indian Issues,Education,Agriculture,Development,War,Corporations,Banking,Revolutionary War,Mexican War,Diplomacy,Employment,Colonies,Taxation,Communism,Spanish War,Civil War,British Conflict,Infrastructure,Naval Concerns,Terrorism,Indian Conflict,Democracy,Tariffs,Currency,Globalism,topic_sum
0,Andrew Johnson,National Union,37870.0,0.05873614072732833,0.0033948109424376976,0.005075855678186593,0.006438118746988498,0.009711353997293243,0.024278816423083438,0.06196706379027092,0.008200394331289877,0.019395301044692975,0.02035971379575939,0.0007561208680082014,0.051323734484610556,0.0,0.0051050054828869875,0.0,0.3651838749934119,0.03760410107754268,0.006649688737973968,0.032788269155214475,0.0076934138625251655,0.04656538993565534,0.025499941484317116,5.845931739850955e-05,0.17591739571753862,0.027297035405585528,4.0
1,Arthur,Republican,19120.0,0.03993944063323069,0.0002488725320140575,0.004941242578974371,0.0,0.0,0.0,0.02767040107474876,0.0059337665827856635,0.044125070532650905,0.5393426206072847,0.0,0.024030023098940565,0.0,0.0,0.027248936909758353,0.008416603552319758,0.02979359549394928,0.008354366668617372,0.05828447486070523,0.00280170138312795,0.03672994482389538,0.00263157894736842,0.04894678578103115,0.07676323159557559,0.013797342343021763,4.0
2,Benjamin Harrison,Republican,53758.0,0.2560667919681964,0.01103063217348611,0.023963075471138587,0.0,0.011025948143209476,0.04266305579650455,0.023768198405123148,0.0,0.0,0.11919817719869948,0.0003675181398861705,0.027972996492578076,0.00018166624277876682,0.007479413310895645,0.007661832042696369,0.008122614214137552,0.0069124005377320785,0.05894063543258487,0.010573877975159582,0.00813328113306202,0.0466327411375164,0.0,0.17900305402617397,0.14566722016954875,0.004634869988891969,4.0
3,Buchanan,Democratic,55941.0,0.030093866678020234,0.0016663947607616473,0.003067264389983689,0.0,0.00043660306544164714,0.0,0.07967062423317614,0.01760011417724166,0.08316922853435685,0.032591202143648274,0.0032359521046542187,0.0,0.00011614581720196982,0.0007097799940120377,0.08821362532319257,0.5143834769939767,0.02523878132540818,0.0,0.01728632458302044,0.0017960612981206057,0.0,0.0,0.04821772466882073,0.05250682990896244,0.0,4.0
4,Buren,Democratic,45271.0,0.05008047464143614,0.0,0.007884561496374587,0.004845493086388878,0.0,0.03774015329055223,0.42288033797202174,0.02978151151162979,0.04493537007768277,0.000650162952233598,0.0007349312839249529,0.08179448309152694,0.0,0.0,0.0045810818108878,0.05616417631116707,0.0,0.006356462925851704,0.02008832864969913,0.0,0.1564292398251692,0.006046198704563158,0.021385095638418034,0.03906684724978214,0.008555089480690175,4.0
5,Carter,Democratic,45024.0,0.0012250632852597598,1.7417961401797534e-05,0.033552299271060126,0.07121898448458706,0.0,0.0015298776097912169,0.0014921386934206554,0.0,0.0,0.013105317495732344,0.030853615370401738,0.00023223948535730046,0.2650738279694379,0.39548560354771684,0.0015355112112434288,0.0028329846582984654,0.0,0.0,0.0,0.035766652388394306,0.0,0.0071241766231511326,0.019856277291162,0.0,0.11909801265358394,4.0
6,Cleveland,Democratic,106341.0,0.1592174637827804,0.0045377858075307306,0.016376967580830713,0.003111424577737254,0.005118118194327425,0.02484820028429792,0.018823766207788688,0.010109168066648876,0.011293706940349972,0.07826131832754116,0.003244301978451586,0.006079847857080536,0.0011666334041629004,0.00487396219415185,0.024944807629594327,0.01243843578529977,0.011895174314515176,0.013655768107959064,0.012014761560102567,0.008687317229791052,0.042219121930928916,0.0028050529567519855,0.24245045619466396,0.2694564155481412,0.012370023538572007,8.0
7,Clinton,Democratic,59454.0,0.0,0.4571146307602474,0.006306265119116617,0.0374698616218303,0.0012344091552012346,0.006225763235748551,9.731034214316297e-06,0.00010577566717607385,0.003687728415217988,0.0048292395662519055,0.30933685472704076,0.0,0.05975374886630358,0.014538966794913765,0.0,0.0,0.0006436153358681876,0.0007907933650507908,0.0025793949235131514,0.0419888399003682,0.0,0.030078907108004583,0.00508624007804674,0.00248258586196751,0.015736648463918347,8.0
8,Coolidge,Republican,51403.0,0.039796482415491115,0.0036859211245887508,0.43603087223684933,0.023984818287909927,0.005852557496748557,0.12210521976284634,0.008180290042702472,0.004161551657187577,0.007361922236904976,0.017783461550369483,0.005042226132793354,0.05315458186865202,0.0032136009206276002,0.010564816145909805,0.00143231363851859,0.0213517259631415,0.0037211757577109376,0.09986905072191632,0.02491735089048397,0.0017052050623275288,0.018115329689056714,0.0,0.08154001795104553,0.0008411837472642497,0.0055883246989533834,6.0
9,Eisenhower,Republican,47424.0,0.01253362597846919,0.0053790785420108015,0.08354607120070222,0.40282748473030416,0.00787465327958144,0.0013724718481875218,0.00957710583427618,0.0036119824473868356,0.0,0.004404463339283084,0.006688143861538285,0.0054075487363507485,0.07020971535549153,0.18189784941485582,0.0,0.012276811071800384,0.00835603257093493,0.022704062360614737,0.004916375928508521,0.018741149914594926,0.015205800064750825,0.009141901809044591,0.00279735869888318,0.010783244879773494,0.09974706813265653,8.0
10,Fillmore,Whig,31343.0,0.10096643228424991,0.00712059076673827,0.0009662283854710172,0.0011981231979840612,0.0011210681247784985,0.01746167750732192,0.03361529495533267,0.0039538065533474024,0.20669443154718625,0.009517059384837467,0.0,0.13050148352745808,0.0,0.003164305190907053,0.0581201592621808,0.0761140626772691,0.05378089385036502,0.035142553461850495,0.04455263378952947,0.004328703166910156,0.1087560802288056,0.0,0.09211951049966727,0.004599247114842042,0.006205654522967431,3.0
11,Ford,Republican,13680.0,0.0,0.02287381748011484,0.008409030294472947,0.0681706384322096,0.014162126009903521,0.0018708523556266769,0.0024058484355920008,0.0,0.000670682919941639,0.0031023522141222937,0.0500737358999702,0.0,0.4860848116739658,0.1291634223180612,0.0,0.05226348467591172,0.002677450533823644,0.0,0.0,0.007765717523413805,0.01799780026885603,0.01983273936758639,0.04662767513564237,0.0,0.0658478144607854,3.0
12,Franklin D. Roosevelt,Democratic,47473.0,0.0006267096513005909,0.002010781578312838,0.06952056032240599,0.03199434694918895,0.21706680089770428,0.01039048541346956,0.003119917525134423,0.020051450235006974,0.003298211966343115,0.0035551722883723057,0.019284661985702414,0.0006383162875236211,0.0063031795742105115,0.020585682799008926,0.0014536545421131794,0.008326044947940701,0.005464726315824248,0.013177582184437348,0.0056629813595093685,0.012878287731320269,0.0015958274949400594,0.28029739392224345,0.041702888051165676,0.010029363806491606,0.2109649721703296,12.0
13,George H. W. Bush,Republican,17413.0,0.0,0.2991470178488111,0.009074509686459845,0.0,0.031465141849200726,0.0,0.008846353096415566,0.0,0.0004193302445604364,0.00594100052782828,0.1134304870575885,0.0001994017946161516,0.1432447268433332,0.1874712525220301,0.0,0.0,0.0007096357984868923,0.030085055852896128,0.0,0.0029734326432467304,0.00021699607061169434,0.09872203501319424,0.007245970654908701,0.001674388598909155,0.05913326389690263,4.0
14,George W. Bush,Republican,40488.0,0.000332509188843144,0.08627767611027984,0.005257046409218391,0.006322416974922009,0.028665613830613834,0.0018308362555989803,0.00029680669285222914,0.0169567496441837,0.0,0.0033765151815691582,0.05823272887600259,0.0,0.07536818216777064,0.022121671002026205,0.0013456674730591598,0.00396357735183,0.0,0.0,0.0043688835630117835,0.6238211929223492,0.0,0.032144163153415194,0.007008031081194125,0.0029549824667796354,0.019354749654480127,8.0
15,Grant,Republican,64756.0,0.20599509848835967,0.00491519574561515,0.0019661689545939095,0.010073749491605785,0.0037527289700788396,0.032697781883455616,0.06361534044087096,0.006101305477539149,0.03422535740560594,0.1382218031259169,0.0045374733019056535,0.019905782639257033,0.003522163460836444,0.00035639117985365016,0.15985738675544037,0.0659737103870885,0.020092932500129997,0.01091313964217111,0.026426456759634443,0.0026805431158102673,0.03400506158432555,0.005608403902902329,0.05212445678901838,0.06472392870386036,0.027707639294123967,8.0
16,Harding,Republican,11380.0,0.0013407364580633587,0.0,0.21486799220850356,0.0,0.0,0.06087457998096193,0.0,0.0,0.0,0.010841520864702144,0.0,0.009295440499212505,0.0,0.0,0.0,0.01959757321810484,0.0,0.18337092676252809,0.0,0.0,0.007087461871249427,0.0,0.16832422342631548,0.0,0.3243995447103587,2.0
